MySQL Shell 8.0.43

Copyright (c) 2016, 2025, Oracle and/or its affiliates.
Oracle is a registered trademark of Oracle Corporation and/or its affiliates.
Other names may be trademarks of their respective owners.

Type '\help' or '\?' for help; '\quit' to exit.
 MySQL  JS > \sql
Switching to SQL mode... Commands end with ;
 MySQL  SQL > \c root@localhost
Creating a session to 'root@localhost'
Fetching global names for auto-completion... Press ^C to stop.
Your MySQL connection id is 12 (X protocol)
Server version: 8.0.43 MySQL Community Server - GPL
No default schema selected; type \use <schema> to set one.
 MySQL  localhost:33060+ ssl  SQL > use sakila
Default schema set to `sakila`.
Fetching global names, object names from `sakila` for auto-completion... Press ^C to stop.
 MySQL  localhost:33060+ ssl  sakila  SQL > SELECT
                                         ->     c.first_name,
                                         ->     c.last_name,
                                         ->     r.rental_id,
                                         -> FROM
                                         ->     customer AS c
                                         -> INNER JOIN
                                         ->     rental AS r ON c.customer_id = r.customer_id
                                         -> LIMIT 100;
ERROR: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FROM
    customer AS c
INNER JOIN
    rental AS r ON c.customer_id = r.customer_' at line 5
 MySQL  localhost:33060+ ssl  sakila  SQL > SELECT
                                         -> c.first_name,
                                         -> c.last_name,
                                         -> r.rental_id
                                         -> FROM
                                         -> customer AS c
                                         -> INNER JOIN
                                         -> rental AS r ON c.customer_id = r.customer_id
                                         -> LIMIT
                                         -> 100;
+------------+-----------+-----------+
| first_name | last_name | rental_id |
+------------+-----------+-----------+
| MARY       | SMITH     |        76 |
| MARY       | SMITH     |       573 |
| MARY       | SMITH     |      1185 |
| MARY       | SMITH     |      1422 |
| MARY       | SMITH     |      1476 |
| MARY       | SMITH     |      1725 |
| MARY       | SMITH     |      2308 |
| MARY       | SMITH     |      2363 |
| MARY       | SMITH     |      3284 |
| MARY       | SMITH     |      4526 |
| MARY       | SMITH     |      4611 |
| MARY       | SMITH     |      5244 |
| MARY       | SMITH     |      5326 |
| MARY       | SMITH     |      6163 |
| MARY       | SMITH     |      7273 |
| MARY       | SMITH     |      7841 |
| MARY       | SMITH     |      8033 |
| MARY       | SMITH     |      8074 |
| MARY       | SMITH     |      8116 |
| MARY       | SMITH     |      8326 |
| MARY       | SMITH     |      9571 |
| MARY       | SMITH     |     10437 |
| MARY       | SMITH     |     11299 |
| MARY       | SMITH     |     11367 |
| MARY       | SMITH     |     11824 |
| MARY       | SMITH     |     12250 |
| MARY       | SMITH     |     13068 |
| MARY       | SMITH     |     13176 |
| MARY       | SMITH     |     14762 |
| MARY       | SMITH     |     14825 |
| MARY       | SMITH     |     15298 |
| MARY       | SMITH     |     15315 |
| PATRICIA   | JOHNSON   |       320 |
| PATRICIA   | JOHNSON   |      2128 |
| PATRICIA   | JOHNSON   |      5636 |
| PATRICIA   | JOHNSON   |      5755 |
| PATRICIA   | JOHNSON   |      7346 |
| PATRICIA   | JOHNSON   |      7376 |
| PATRICIA   | JOHNSON   |      7459 |
| PATRICIA   | JOHNSON   |      8230 |
| PATRICIA   | JOHNSON   |      8598 |
| PATRICIA   | JOHNSON   |      8705 |
| PATRICIA   | JOHNSON   |      9031 |
| PATRICIA   | JOHNSON   |      9236 |
| PATRICIA   | JOHNSON   |      9248 |
| PATRICIA   | JOHNSON   |      9296 |
| PATRICIA   | JOHNSON   |      9465 |
| PATRICIA   | JOHNSON   |     10136 |
| PATRICIA   | JOHNSON   |     10466 |
| PATRICIA   | JOHNSON   |     10918 |
| PATRICIA   | JOHNSON   |     11087 |
| PATRICIA   | JOHNSON   |     11177 |
| PATRICIA   | JOHNSON   |     11256 |
| PATRICIA   | JOHNSON   |     11614 |
| PATRICIA   | JOHNSON   |     12963 |
| PATRICIA   | JOHNSON   |     14475 |
| PATRICIA   | JOHNSON   |     14743 |
| PATRICIA   | JOHNSON   |     15145 |
| PATRICIA   | JOHNSON   |     15907 |
| LINDA      | WILLIAMS  |       435 |
| LINDA      | WILLIAMS  |       830 |
| LINDA      | WILLIAMS  |      1546 |
| LINDA      | WILLIAMS  |      1726 |
| LINDA      | WILLIAMS  |      1911 |
| LINDA      | WILLIAMS  |      2628 |
| LINDA      | WILLIAMS  |      4180 |
| LINDA      | WILLIAMS  |      4725 |
| LINDA      | WILLIAMS  |      7096 |
| LINDA      | WILLIAMS  |      7503 |
| LINDA      | WILLIAMS  |      7703 |
| LINDA      | WILLIAMS  |      7724 |
| LINDA      | WILLIAMS  |      7911 |
| LINDA      | WILLIAMS  |      8086 |
| LINDA      | WILLIAMS  |      8545 |
| LINDA      | WILLIAMS  |      9226 |
| LINDA      | WILLIAMS  |      9443 |
| LINDA      | WILLIAMS  |      9595 |
| LINDA      | WILLIAMS  |      9816 |
| LINDA      | WILLIAMS  |     10597 |
| LINDA      | WILLIAMS  |     12556 |
| LINDA      | WILLIAMS  |     13403 |
| LINDA      | WILLIAMS  |     13610 |
| LINDA      | WILLIAMS  |     14699 |
| LINDA      | WILLIAMS  |     15038 |
| LINDA      | WILLIAMS  |     15619 |
| BARBARA    | JONES     |      1297 |
| BARBARA    | JONES     |      1633 |
| BARBARA    | JONES     |      1707 |
| BARBARA    | JONES     |      1735 |
| BARBARA    | JONES     |      2043 |
| BARBARA    | JONES     |      2642 |
| BARBARA    | JONES     |      7660 |
| BARBARA    | JONES     |      7718 |
| BARBARA    | JONES     |      8741 |
| BARBARA    | JONES     |      9100 |
| BARBARA    | JONES     |      9371 |
| BARBARA    | JONES     |     11069 |
| BARBARA    | JONES     |     11110 |
| BARBARA    | JONES     |     11529 |
| BARBARA    | JONES     |     12151 |
+------------+-----------+-----------+
100 rows in set (0.0084 sec)
 MySQL  localhofffffilm_category AS ab ON a.film_id = ab.film_idON a.film_id = ab.fil
                                         -> LIMIT 100;ory AS ab ON a.film_id = ab.fi
ERROR: 1054: Unknown column 'b.name' in 'field list'egory AS ab ON a.film_id = ab.f
 MySQL  localhost:33060+ ssl  sakila  SQL > ^Clm_category AS ab ON a.film_id = ab.
 MySQL  localhost:33060+ ssl  sakila  SQL > ^Clm_category AS ab ON a.film_id = ab
 MySQL  localhost:33060+ ssl  sakila  SQL > ^Clm_category AS ab ON a.film_id = a
 MySQL  localhost:33060+ ssl  sakila  SQL > ^Clm_category AS ab ON a.film_id =
 MySQL  localhost:33060+ ssl  sakila  SQL > ^Clm_category AS ab ON a.film_id =
 MySQL  localhost:33060+ ssl  sakila  SQL > ^Clm_category AS ab ON a.film_id
 MySQL  localhost:33060+ ssl  sakila  SQL > ^Clm_category AS ab ON a.film_id
 MySQL  localhost:33060+ ssl  sakila  SQL > ^C
 MySQL  localhost:33060+ ssl  sakila  SQL > SELECT a.title AS Titulo, b.name AS Categoria FROM film AS a INNER JOIN film_category AS ab ON a.film_id = ab.film_id LIMIT 100;
ERROR: 1054: Unknown column 'b.name' in 'field list'
 MySQL  localhost:33060+ ssl  sakila  SQL > SELECT a.title AS Titulo, b.name AS Categoria FROM film AS a INNER JOIN film_category AS ab ON a.film_id = ab.film_id
                                         -> INNER JOIN
                                         -> category AS b ON ab.category_id = b.category_id

                                         -> LIMIT 100;
+-------------------------+-----------+
| Titulo                  | Categoria |
+-------------------------+-----------+
| AMADEUS HOLY            | Action    |
| AMERICAN CIRCUS         | Action    |
| ANTITRUST TOMATOES      | Action    |
| ARK RIDGEMONT           | Action    |
| BAREFOOT MANCHURIAN     | Action    |
| BERETS AGENT            | Action    |
| BRIDE INTRIGUE          | Action    |
| BULL SHAWSHANK          | Action    |
| CADDYSHACK JEDI         | Action    |
| CAMPUS REMEMBER         | Action    |
| CASUALTIES ENCINO       | Action    |
| CELEBRITY HORN          | Action    |
| CLUELESS BUCKET         | Action    |
| CROW GREASE             | Action    |
| DANCES NONE             | Action    |
| DARKO DORADO            | Action    |
| DARN FORRESTER          | Action    |
| DEVIL DESIRE            | Action    |
| DRAGON SQUAD            | Action    |
| DREAM PICKUP            | Action    |
| DRIFTER COMMANDMENTS    | Action    |
| EASY GLADIATOR          | Action    |
| ENTRAPMENT SATISFACTION | Action    |
| EXCITEMENT EVE          | Action    |
| FANTASY TROOPERS        | Action    |
| FIREHOUSE VIETNAM       | Action    |
| FOOL MOCKINGBIRD        | Action    |
| FORREST SONS            | Action    |
| GLASS DYING             | Action    |
| GOSFORD DONNIE          | Action    |
| GRAIL FRANKENSTEIN      | Action    |
| HANDICAP BOONDOCK       | Action    |
| HILLS NEIGHBORS         | Action    |
| KISSING DOLLS           | Action    |
| LAWRENCE LOVE           | Action    |
| LORD ARIZONA            | Action    |
| LUST LOCK               | Action    |
| MAGNOLIA FORRESTER      | Action    |
| MIDNIGHT WESTWARD       | Action    |
| MINDS TRUMAN            | Action    |
| MOCKINGBIRD HOLLYWOOD   | Action    |
| MONTEZUMA COMMAND       | Action    |
| PARK CITIZEN            | Action    |
| PATRIOT ROMAN           | Action    |
| PRIMARY GLASS           | Action    |
| QUEST MUSSOLINI         | Action    |
| REAR TRADING            | Action    |
| RINGS HEARTBREAKERS     | Action    |
| RUGRATS SHAKESPEARE     | Action    |
| SHRUNK DIVINE           | Action    |
| SIDE ARK                | Action    |
| SKY MIRACLE             | Action    |
| SOUTH WAIT              | Action    |
| SPEAKEASY DATE          | Action    |
| STAGECOACH ARMAGEDDON   | Action    |
| STORY SIDE              | Action    |
| SUSPECTS QUILLS         | Action    |
| TRIP NEWTON             | Action    |
| TRUMAN CRAZY            | Action    |
| UPRISING UPTOWN         | Action    |
| WATERFRONT DELIVERANCE  | Action    |
| WEREWOLF LOLA           | Action    |
| WOMEN DORADO            | Action    |
| WORST BANGER            | Action    |
| ALTER VICTORY           | Animation |
| ANACONDA CONFESSIONS    | Animation |
| ARGONAUTS TOWN          | Animation |
| BIKINI BORROWERS        | Animation |
| BLACKOUT PRIVATE        | Animation |
| BORROWERS BEDAZZLED     | Animation |
| CANYON STOCK            | Animation |
| CAROL TEXAS             | Animation |
| CHAMPION FLATLINERS     | Animation |
| CLASH FREDDY            | Animation |
| CLUB GRAFFITI           | Animation |
| CROSSROADS CASUALTIES   | Animation |
| DARES PLUTO             | Animation |
| DESIRE ALIEN            | Animation |
| DOGMA FAMILY            | Animation |
| DONNIE ALLEY            | Animation |
| DOORS PRESIDENT         | Animation |
| DOUBLE WRATH            | Animation |
| DUCK RACER              | Animation |
| EARLY HOME              | Animation |
| FALCON VOLUME           | Animation |
| FIGHT JAWBREAKER        | Animation |
| FLOATS GARDEN           | Animation |
| FLYING HOOK             | Animation |
| FORRESTER COMANCHEROS   | Animation |
| GANGS PRIDE             | Animation |
| GHOSTBUSTERS ELF        | Animation |
| HARPER DYING            | Animation |
| HOOK CHARIOTS           | Animation |
| HORN WORKING            | Animation |
| INCH JET                | Animation |
| INSECTS STONE           | Animation |
| INTENTIONS EMPIRE       | Animation |
| ISHTAR ROCKETEER        | Animation |
| JUGGLER HARDLY          | Animation |
| LAWLESS VISION          | Animation |
+-------------------------+-----------+
100 rows in set (0.0022 sec)
 MySQL  localhost:33060+ ssl  sakila  SQL > SELECT
                                         -> c.first_name AS Nombre,
                                         -> c.last_name AS Apellido,
                                         -> f.title AS PeliculaRentada
                                         -> FROM
                                         -> customer AS c
                                         -> INNER JOIN
                                         -> rental AS r ON c.customer_id = r.customer_id
                                         -> INNER JOIN
                                         -> inventory AS i ON r.inventory_id = i.inventory_id
                                         -> INNER JOIN
                                         -> film AS f ON i.film_id = f.film_id
                                         -> LIMIT
                                         -> 100;
+-----------+-------------+------------------+
| Nombre    | Apellido    | PeliculaRentada  |
+-----------+-------------+------------------+
| JOEL      | FRANCISCO   | ACADEMY DINOSAUR |
| GABRIEL   | HARDER      | ACADEMY DINOSAUR |
| DIANNE    | SHELTON     | ACADEMY DINOSAUR |
| NORMAN    | CURRIER     | ACADEMY DINOSAUR |
| BEATRICE  | ARNOLD      | ACADEMY DINOSAUR |
| GERALDINE | PERKINS     | ACADEMY DINOSAUR |
| VIRGIL    | WOFFORD     | ACADEMY DINOSAUR |
| WILLIE    | MARKHAM     | ACADEMY DINOSAUR |
| DEBRA     | NELSON      | ACADEMY DINOSAUR |
| DARREN    | WINDHAM     | ACADEMY DINOSAUR |
| ROBERT    | BAUGHMAN    | ACADEMY DINOSAUR |
| HENRY     | BILLINGSLEY | ACADEMY DINOSAUR |
| SERGIO    | STANFIELD   | ACADEMY DINOSAUR |
| FREDDIE   | DUGGAN      | ACADEMY DINOSAUR |
| MARIE     | TURNER      | ACADEMY DINOSAUR |
| MATTIE    | HOFFMAN     | ACADEMY DINOSAUR |
| DWAYNE    | OLVERA      | ACADEMY DINOSAUR |
| CARL      | ARTIS       | ACADEMY DINOSAUR |
| NATHAN    | RUNYON      | ACADEMY DINOSAUR |
| HECTOR    | POINDEXTER  | ACADEMY DINOSAUR |
| TINA      | SIMMONS     | ACADEMY DINOSAUR |
| SUSAN     | WILSON      | ACADEMY DINOSAUR |
| REBECCA   | SCOTT       | ACADEMY DINOSAUR |
| PENNY     | NEAL        | ACE GOLDFINGER   |
| BRANDON   | HUEY        | ACE GOLDFINGER   |
| LUCILLE   | HOLMES      | ACE GOLDFINGER   |
| KATHRYN   | COLEMAN     | ACE GOLDFINGER   |
| AMBER     | DIXON       | ACE GOLDFINGER   |
| STACY     | CUNNINGHAM  | ACE GOLDFINGER   |
| JESSIE    | MILAM       | ACE GOLDFINGER   |
| PEARL     | GARZA       | ADAPTATION HOLES |
| TRAVIS    | ESTEP       | ADAPTATION HOLES |
